ts,iso,side,price,qty,setup,score,regime,atrScale,hwmScale,setup11TradeId
1708999200000,2024-02-27T02:00:00.000Z,SHORT,55660.98,0.001000,aggS(9),9,RANGE,0.853,1.000,
1709107200000,2024-02-28T08:00:00.000Z,SHORT,58567.51,0.001237,aggS(9),9,RANGE,1.237,1.000,
1709110800000,2024-02-28T09:00:00.000Z,SHORT,59223.99,0.010302,aggS(10),10,RANGE,0.858,1.000,
1709140500000,2024-02-28T17:15:00.000Z,SHORT,63153.17,0.005298,aggS(10),10,RANGE,0.441,1.000,
1709225100000,2024-02-29T16:45:00.000Z,LONG,62031.1,0.001000,agg(9),9,RANGE,0.542,1.000,
1709228700000,2024-02-29T17:45:00.000Z,LONG,60743.42,0.005614,agg(10),10,RANGE,0.468,1.000,
1709615700000,2024-03-05T05:15:00.000Z,LONG,66528.56,0.001000,agg(9),9,RANGE,0.458,1.000,
1709655300000,2024-03-05T16:15:00.000Z,LONG,65074.83,0.004800,agg(10),10,RANGE,0.400,1.000,
1709658900000,2024-03-05T17:15:00.000Z,LONG,64321.84,0.010400,agg(11),11,RANGE,0.400,1.000,
1710261000000,2024-03-12T16:30:00.000Z,LONG,70664.8,0.006697,agg(10),10,BULL,0.558,1.000,
1710264600000,2024-03-12T17:30:00.000Z,LONG,69804.03,0.011926,agg(11),11,BULL,0.459,1.000,
1710424800000,2024-03-14T14:00:00.000Z,LONG,72033.38,0.001000,agg(9),9,BULL,0.808,1.000,
1711108800000,2024-03-22T12:00:00.000Z,LONG,64221.51,0.001000,agg(9),9,BULL,0.765,1.000,
1711116000000,2024-03-22T14:00:00.000Z,LONG,63416.07,0.007167,agg(10),10,BULL,0.597,1.000,
1711143900000,2024-03-22T21:45:00.000Z,LONG,62870.37,0.001000,agg(9),9,BULL,0.605,1.000,
1711238400000,2024-03-24T00:00:00.000Z,LONG,64166.11,0.001004,agg(9),9,BULL,1.004,1.000,
1711463400000,2024-03-26T14:30:00.000Z,LONG,69496,0.001000,agg(9),9,BULL,0.766,1.000,
1711727100000,2024-03-29T15:45:00.000Z,LONG,69421.73,0.001000,agg(9),9,BULL,0.994,1.000,
1711951200000,2024-04-01T06:00:00.000Z,LONG,69326.01,0.001211,agg(9),9,BULL,1.211,1.000,
1711984500000,2024-04-01T15:15:00.000Z,LONG,68514,0.001000,agg(9),9,BULL,0.881,1.000,
1712025000000,2024-04-02T02:30:00.000Z,LONG,68208.02,0.001000,agg(9),9,BULL,0.955,1.000,
1712057400000,2024-04-02T11:30:00.000Z,LONG,65512,0.001000,agg(9),9,BULL,0.671,1.000,
1712295000000,2024-04-05T05:30:00.000Z,LONG,66681.97,0.001000,agg(9),9,BULL,0.786,1.000,
1712673900000,2024-04-09T14:45:00.000Z,LONG,68850.6,0.001000,agg(9),9,BULL,0.721,1.000,
1712753100000,2024-04-10T12:45:00.000Z,LONG,67928.62,0.001000,agg(9),9,BULL,0.879,1.000,
1712946600000,2024-04-12T18:30:00.000Z,LONG,66560,0.001000,agg(9),9,BULL,0.602,1.000,
1713115800000,2024-04-14T17:30:00.000Z,LONG,63725.47,0.001000,agg(9),9,RANGE,0.552,1.000,
1713190500000,2024-04-15T14:15:00.000Z,LONG,65497,0.001000,agg(9),9,RANGE,0.719,1.000,
1713364200000,2024-04-17T14:30:00.000Z,LONG,60932.88,0.001000,agg(9),9,RANGE,0.597,1.000,
1713367800000,2024-04-17T15:30:00.000Z,LONG,60193.36,0.001000,agg(9),9,RANGE,0.461,1.000,
1713438900000,2024-04-18T11:15:00.000Z,SHORT,62684.17,0.001000,aggS(9),9,RANGE,0.851,1.000,
1713489300000,2024-04-19T01:15:00.000Z,LONG,62144,0.001000,agg(9),9,RANGE,0.778,1.000,
1713510000000,2024-04-19T07:00:00.000Z,SHORT,64876.74,0.010914,aggS(11),11,RANGE,0.437,1.000,
1713969900000,2024-04-24T14:45:00.000Z,LONG,65249.01,0.001000,agg(9),9,RANGE,0.899,1.000,
1714181400000,2024-04-27T01:30:00.000Z,LONG,62730,0.001000,agg(9),9,RANGE,0.986,1.000,
1714466700000,2024-04-30T08:45:00.000Z,LONG,62118,0.001084,agg(9),9,RANGE,1.084,1.000,
1714507200000,2024-04-30T20:00:00.000Z,LONG,59846.21,0.001000,agg(9),9,RANGE,0.597,1.000,
1714548600000,2024-05-01T07:30:00.000Z,LONG,57576.07,0.015286,agg(11),11,RANGE,0.588,1.000,
1714589100000,2024-05-01T18:45:00.000Z,SHORT,58688.57,0.001000,aggS(9),9,RANGE,0.498,1.000,
1714742100000,2024-05-03T13:15:00.000Z,SHORT,61019.64,0.001000,aggS(9),9,RANGE,0.740,1.000,
1714768200000,2024-05-03T20:30:00.000Z,SHORT,62761.12,0.001000,aggS(9),9,RANGE,0.893,1.000,
1715352300000,2024-05-10T14:45:00.000Z,LONG,61501.23,0.001000,agg(9),9,RANGE,0.823,1.000,
1715587200000,2024-05-13T08:00:00.000Z,SHORT,62440,0.001044,aggS(9),9,RANGE,1.044,1.000,
1715777100000,2024-05-15T12:45:00.000Z,SHORT,63783.99,0.001000,aggS(9),9,RANGE,0.846,1.000,
1715780700000,2024-05-15T13:45:00.000Z,LONG,64381.54,0.005214,S10,2,RANGE,0.745,1.000,
1715780700000,2024-05-15T13:45:00.000Z,SHORT,64381.54,0.001000,aggS(9),9,RANGE,0.745,1.000,
